id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
18554950,9a89195b-fdfb-4c0c-be71-f4de7cad6d31,2017/05/19 8:12 AM +05,2017-05-19,2017-05-19 03:12:00 UTC,Ekaterinburg,1361010,zveroboy57,Александр,2018-11-22 11:48:14 UTC,2024-06-11 13:57:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/18554950,https://inaturalist-open-data.s3.amazonaws.com/photos/28387115/medium.jpg,,"",,7,0,false,,"Краснокамский р-н, Респ. Башкортостан, Россия",56.1055169683,54.1962759593,61,,,,61,,open,false,,,bec-croisé des sapins,Loxia curvirostra,Клёст-еловик,Aves,10411
18688097,f6206d41-b80f-46c2-a53c-c3485c40dec3,2017/03/12 11:44 AM +04,2017-03-12,2017-03-12 07:44:00 UTC,Samara,1172320,beetle23,Борис Георги,2018-11-28 04:00:43 UTC,2019-11-05 17:02:52 UTC,research,CC-BY,https://www.inaturalist.org/observations/18688097,https://inaturalist-open-data.s3.amazonaws.com/photos/28611162/medium.jpeg,,"",,2,0,false,,"Первомайский р-н, Ижевск, республика Удмуртия, Россия",56.8410350992,53.2632940532,50,,,,50,,open,false,,,bec-croisé des sapins,Loxia curvirostra,Клёст-еловик,Aves,10411
28165139,fa48fbc9-a4b9-433b-9b50-d005a9f6bae8,2019-07-04 10:27:29 ДП GMT+02:00,2019-07-04,2019-07-04 08:27:29 UTC,Africa/Johannesburg,1574965,evsam,Evgenij Samarin,2019-07-04 10:24:09 UTC,2020-04-09 01:13:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/28165139,https://inaturalist-open-data.s3.amazonaws.com/photos/43887850/medium.jpg,,"",,1,0,false,2,"Россия, 452930",56.1054691793,54.1963485628,22,,,,22,,open,false,gps,gps,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
36023946,91f6ddc0-55ed-4a56-8559-d095af606882,2019/11/19 10:14 AM SST,2019-11-19,2019-11-18 20:14:00 UTC,Samoa,2458916,konstantinseliverstov,Константин Селивёрстов,2019-11-24 17:38:23 UTC,2020-04-29 08:28:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/36023946,https://inaturalist-open-data.s3.amazonaws.com/photos/56889680/medium.jpg,,"",Стайка клестов,3,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1364140626,52.7178946584,122,,,,122,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
36156585,157ff240-2058-412f-8a6d-9cb1d9d10424,2014/04/17 12:56 PM SST,2014-04-17,2014-04-16 23:56:00 UTC,Samoa,2458916,konstantinseliverstov,Константин Селивёрстов,2019-11-28 10:28:06 UTC,2023-11-07 16:40:06 UTC,research,CC-BY,https://www.inaturalist.org/observations/36156585,https://inaturalist-open-data.s3.amazonaws.com/photos/57119916/medium.jpg,,"",,2,0,false,,"Глазов, республика Удмуртия, Россия",58.1384472218,52.6886583468,61,,,,61,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
36215877,3f1ae111-a4ef-4d41-9a24-1aa7790c7351,2019/11/30 12:30 PM SST,2019-11-30,2019-11-29 22:30:00 UTC,Samoa,2458916,konstantinseliverstov,Константин Селивёрстов,2019-11-30 12:54:08 UTC,2019-11-30 20:42:31 UTC,research,CC-BY,https://www.inaturalist.org/observations/36215877,https://inaturalist-open-data.s3.amazonaws.com/photos/57221471/medium.jpg,,"",,1,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1381049289,52.7210392525,61,,,,61,,open,false,,,křivka obecná,Loxia curvirostra,Клёст-еловик,Aves,10411
36262442,3ca60189-06dc-42de-bd00-3cb61c989013,2019/11/30 1:14 PM MSK,2019-11-30,2019-11-30 10:14:00 UTC,Moscow,1417229,anisimov-43,Dmitry Anisimov,2019-12-01 19:07:08 UTC,2020-02-05 13:53:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36262442,https://inaturalist-open-data.s3.amazonaws.com/photos/57300958/medium.jpeg,,"",,2,0,false,,"Афанасьевский р-н, Кировская обл., Россия",58.5081866904,53.2354899276,244,,,,244,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
36507028,7d03c5dd-fd11-4f0a-8011-5f65120cb255,2019/12/01 10:55 AM MSK,2019-12-01,2019-12-01 07:55:00 UTC,Moscow,1417229,anisimov-43,Dmitry Anisimov,2019-12-09 18:28:18 UTC,2020-02-05 13:37:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36507028,https://inaturalist-open-data.s3.amazonaws.com/photos/57717101/medium.jpeg,,"","",1,0,false,,"Омутнинский р-н, Кировская обл., Россия",58.403384,52.725272,,,,,,,open,false,,,Red Crossbill,Loxia curvirostra,Клёст-еловик,Aves,10411
36610694,dcf34c52-fda4-4cc1-81cd-31a411172885,2014/04/18 11:33 AM +04,2014-04-18,2014-04-18 07:33:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2019-12-13 07:28:21 UTC,2020-04-29 08:07:14 UTC,research,CC-BY,https://www.inaturalist.org/observations/36610694,https://inaturalist-open-data.s3.amazonaws.com/photos/57893944/medium.jpg,,"",,2,0,false,,"Глазов, республика Удмуртия, Россия",58.1383731567,52.6888979998,122,,,,122,,open,false,,,Crociere comune,Loxia curvirostra,Клёст-еловик,Aves,10411
36636390,4b4a2b20-0cff-4949-b0f5-2a517ca17e9e,2019/12/08 12:31 PM +0400,2019-12-08,2019-12-08 08:31:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2019-12-14 05:50:51 UTC,2020-04-29 07:53:00 UTC,research,CC-BY,https://www.inaturalist.org/observations/36636390,https://inaturalist-open-data.s3.amazonaws.com/photos/57937601/medium.jpg,,"",,2,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1374007748,52.7204925346,122,,,,122,,open,false,,,Red Crossbill,Loxia curvirostra,Клёст-еловик,Aves,10411
36668891,fb59d85e-5295-47c5-85e8-6899242afe7b,2019/12/15 12:45 PM +0400,2019-12-15,2019-12-15 08:45:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2019-12-15 11:45:34 UTC,2019-12-16 19:24:26 UTC,research,CC-BY,https://www.inaturalist.org/observations/36668891,https://inaturalist-open-data.s3.amazonaws.com/photos/57996158/medium.jpg,,"",,3,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1382924032,52.7198994136,122,,,,122,,open,false,,,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
36674815,8c551a30-e8af-438e-8db7-c117489af473,2017/01/17 3:14 PM +0400,2017-01-17,2017-01-17 11:14:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2019-12-15 17:03:46 UTC,2020-04-29 07:50:19 UTC,research,CC-BY,https://www.inaturalist.org/observations/36674815,https://inaturalist-open-data.s3.amazonaws.com/photos/58007364/medium.jpg,,"",,2,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.138491101,52.7202226857,122,,,,122,,open,false,,,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
36760885,1c50a781-d10e-403a-ab4d-3bf92e640a95,2016/11/07 1:06 PM +0400,2016-11-07,2016-11-07 09:06:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2019-12-18 21:40:38 UTC,2019-12-19 07:39:38 UTC,research,CC-BY,https://www.inaturalist.org/observations/36760885,https://inaturalist-open-data.s3.amazonaws.com/photos/58160899/medium.jpg,,"",,2,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1367622311,52.7192172759,244,,,,244,,open,false,,,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
36770521,0b2f3b90-b5a8-4c4d-bf12-e1e3801a4eda,2016/11/27 12:09 PM +0400,2016-11-27,2016-11-27 08:09:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2019-12-19 05:32:55 UTC,2020-04-29 07:43:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/36770521,https://inaturalist-open-data.s3.amazonaws.com/photos/58177999/medium.jpg,,"",,2,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1362212351,52.7186642844,122,,,,122,,open,false,,,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
36965095,48537951-ab61-4ee4-9ec4-52704ad264f5,2019/12/22 12:25 PM +0400,2019-12-22,2019-12-22 08:25:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2019-12-26 12:46:58 UTC,2019-12-28 12:59:46 UTC,research,CC-BY,https://www.inaturalist.org/observations/36965095,https://inaturalist-open-data.s3.amazonaws.com/photos/58519369/medium.jpg,,"",,2,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1378430336,52.719593408,122,,,,122,,open,false,,,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
37121265,7ca68041-b120-419c-af17-e532dd78dbe4,2019/06/05 9:32 AM +0400,2019-06-05,2019-06-05 05:32:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2019-12-31 05:01:24 UTC,2020-04-29 07:29:30 UTC,research,CC-BY,https://www.inaturalist.org/observations/37121265,https://inaturalist-open-data.s3.amazonaws.com/photos/58796205/medium.jpg,,"",,1,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1601342407,52.7744064086,122,,,,122,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
37198994,9d2e2ada-9c53-4b57-af45-8e95fd21d326,2019/12/29 12:02 PM +0400,2019-12-29,2019-12-29 08:02:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-01-02 18:28:15 UTC,2020-01-04 19:37:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/37198994,https://inaturalist-open-data.s3.amazonaws.com/photos/58932116/medium.jpg,,"",,3,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1359564368,52.7147374969,122,,,,122,,open,false,,,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
37574601,d4292bef-8994-4331-9920-71ba9feeed9f,2020/01/06 1:05 PM +0400,2020-01-06,2020-01-06 09:05:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-01-14 02:07:54 UTC,2020-01-14 13:30:48 UTC,research,CC-BY,https://www.inaturalist.org/observations/37574601,https://inaturalist-open-data.s3.amazonaws.com/photos/59591859/medium.jpg,,"",,2,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1382074553,52.7192705015,122,,,,122,,open,false,,,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
38228213,6f42726b-c8d8-461e-8c01-8a97beea73c7,2020/02/02 2:07 PM +0400,2020-02-02,2020-02-02 10:07:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-02-02 19:52:52 UTC,2025-04-03 06:13:18 UTC,research,CC-BY,https://www.inaturalist.org/observations/38228213,https://inaturalist-open-data.s3.amazonaws.com/photos/60726505/medium.jpg,,"",,1,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1374346864,52.7194668018,122,,,,122,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
38250634,6292ca67-b6e8-4e76-bfa3-66a472f4dcd1,2020/02/02 2:05 PM +0400,2020-02-02,2020-02-02 10:05:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-02-03 07:32:25 UTC,2025-04-03 06:31:25 UTC,research,CC-BY,https://www.inaturalist.org/observations/38250634,https://inaturalist-open-data.s3.amazonaws.com/photos/60767878/medium.jpg,,"",,1,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1378028575,52.7185602323,122,,,,122,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
38419996,869e5f38-e53d-47a4-ad4b-9671cc5aef5d,2020/02/08 1:27 PM +0400,2020-02-08,2020-02-08 09:27:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-02-08 12:22:39 UTC,2020-04-29 07:20:53 UTC,research,CC-BY,https://www.inaturalist.org/observations/38419996,https://inaturalist-open-data.s3.amazonaws.com/photos/61057436/medium.jpg,,"",,2,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1376133113,52.720809087,122,,,,122,,open,false,,,Red Crossbill,Loxia curvirostra,Клёст-еловик,Aves,10411
38665241,205e3149-01cc-4cb6-aae3-8a4641b9e3c9,2020/02/15 12:48 PM +0400,2020-02-15,2020-02-15 08:48:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-02-15 11:34:22 UTC,2020-02-15 13:58:46 UTC,research,CC-BY,https://www.inaturalist.org/observations/38665241,https://inaturalist-open-data.s3.amazonaws.com/photos/61485004/medium.jpg,,"",,1,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1417444311,52.8165756265,61,,,,61,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
38705669,ecf943a5-2905-4ecb-b4e3-56a7e0018e21,2020/02/16 1:16 PM +0400,2020-02-16,2020-02-16 09:16:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-02-16 11:37:24 UTC,2025-04-03 12:18:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/38705669,https://inaturalist-open-data.s3.amazonaws.com/photos/61557161/medium.jpg,,"",,1,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1378509225,52.7197992691,122,,,,122,,open,false,,,Red Crossbill,Loxia curvirostra,Клёст-еловик,Aves,10411
38707518,d32ae668-84ea-4d36-8bde-a621f9524923,2020/02/16 11:04 AM +0400,2020-02-16,2020-02-16 07:04:00 UTC,Samara,1172320,beetle23,Борис Георги,2020-02-16 13:12:30 UTC,2020-02-17 10:55:31 UTC,research,CC-BY,https://www.inaturalist.org/observations/38707518,https://inaturalist-open-data.s3.amazonaws.com/photos/61560572/medium.jpeg,,"","",1,0,false,,"Игра, республика Удмуртия, Россия",57.5343887231,53.1139597208,60,,,,60,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
38707522,aae0a1f4-dea9-49bd-8766-ab83402aec02,2020/02/16 11:34 AM +0400,2020-02-16,2020-02-16 07:34:00 UTC,Samara,1172320,beetle23,Борис Георги,2020-02-16 13:12:33 UTC,2020-04-29 07:16:59 UTC,research,CC-BY,https://www.inaturalist.org/observations/38707522,https://inaturalist-open-data.s3.amazonaws.com/photos/61560586/medium.jpeg,,"","",3,0,false,,"Игра, республика Удмуртия, Россия",57.5362976913,53.1164657919,42,,,,42,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
39043774,f0c0bf52-f698-4627-b419-a92ee8a730c4,2020/02/22 1:08 PM +0400,2020-02-22,2020-02-22 09:08:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-02-22 13:34:28 UTC,2025-04-03 18:46:53 UTC,research,CC-BY,https://www.inaturalist.org/observations/39043774,https://inaturalist-open-data.s3.amazonaws.com/photos/61949869/medium.jpeg,,"",,1,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1361189186,52.7161937652,15,,,,15,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
39401243,ffb8a6a0-71cf-4e96-a73d-8187331642d6,2020/03/01 12:45 PM +0400,2020-03-01,2020-03-01 08:45:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-03-01 13:13:05 UTC,2020-03-01 14:29:40 UTC,research,CC-BY,https://www.inaturalist.org/observations/39401243,https://inaturalist-open-data.s3.amazonaws.com/photos/62506930/medium.jpg,,"",,1,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1379853201,52.7200151436,122,,,,122,,open,false,,,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
39700284,88fd2ab3-0c56-4365-9601-ade71ce6704b,2020/03/08 1:48 PM +0400,2020-03-08,2020-03-08 09:48:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-03-08 14:40:32 UTC,2020-04-29 07:15:16 UTC,research,CC-BY,https://www.inaturalist.org/observations/39700284,https://inaturalist-open-data.s3.amazonaws.com/photos/63011428/medium.jpg,,"",,3,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1317778414,52.8683910125,244,,,,244,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
39749715,53910ff7-7ab1-4ce0-bc96-a6bd81f48abb,2020/03/09 2:43 PM +0400,2020-03-09,2020-03-09 10:43:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-03-09 12:57:46 UTC,2020-03-09 14:07:07 UTC,research,CC-BY,https://www.inaturalist.org/observations/39749715,https://inaturalist-open-data.s3.amazonaws.com/photos/63096383/medium.jpg,,"",,2,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1375324837,52.7195605987,122,,,,122,,open,false,,,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
40019114,47d4abe0-ae4f-47c3-873e-eb0ebbd7d22e,2020/03/15 9:49 AM +0400,2020-03-15,2020-03-15 05:49:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-03-15 12:16:17 UTC,2020-03-15 16:34:28 UTC,research,CC-BY,https://www.inaturalist.org/observations/40019114,https://inaturalist-open-data.s3.amazonaws.com/photos/63553117/medium.jpg,,"",,1,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.0038058794,52.7132949584,122,,,,122,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
40071135,b651664f-398b-4748-8ef7-9e5478799d5d,2020/03/16 11:07 AM +0400,2020-03-16,2020-03-16 07:07:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-03-16 08:33:09 UTC,2020-04-29 07:09:35 UTC,research,CC-BY,https://www.inaturalist.org/observations/40071135,https://inaturalist-open-data.s3.amazonaws.com/photos/63642002/medium.jpg,,"",,2,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.142765229,52.6821813339,61,,,,61,,open,false,,,Fichtenkreuzschnabel,Loxia curvirostra,Клёст-еловик,Aves,10411
40521733,61a2ddfe-73a6-4093-b0f5-3104aa5e9f04,2020/03/22 12:21 PM +0400,2020-03-22,2020-03-22 08:21:00 UTC,Samara,2458916,konstantinseliverstov,Константин Селивёрстов,2020-03-22 14:19:45 UTC,2020-04-29 07:06:35 UTC,research,CC-BY,https://www.inaturalist.org/observations/40521733,https://inaturalist-open-data.s3.amazonaws.com/photos/64217153/medium.jpg,,"",,3,0,false,,"Глазовский р-н, республика Удмуртия, Россия",58.1370455224,52.7230568576,8,,,,8,,open,false,,,Обыкновенный клёст,Loxia curvirostra,Клёст-еловик,Aves,10411
